Author	n (strains)	publication title	journal	publication URL	strains
Zhang et al	1	A new coronavirus associated with human respiratory disease in China	unknown	https://dx.doi.org/10.1038/s41586-020-2008-3	hCoV-19/Wuhan/Hu-1/2019
Weijun Chen et al	1	Genomic characterisation and epidemiology of 2019 novel coronavirus: implications for virus origins and receptor binding	unknown	https://dx.doi.org/10.1016/S0140-6736(20)30251-8	hCoV-19/Wuhan/WH01/2019
Amirtharaj Francis et al	4	unknown	unknown	unknown	hCoV-19/UnitedArabEmirates/skmc-003/2020,hCoV-19/UnitedArabEmirates/skmc-002/2020,hCoV-19/UnitedArabEmirates/skmc-3595813/2020,hCoV-19/UnitedArabEmirates/skmc-339907/2020
Dominic N.C. Tsang et al	1	unknown	unknown	unknown	hCoV-19/HongKong/VM20002493-2/2020
Ji-Rong Yang et al A	1	Prolonged viral shedding and new mutations of COVID-19 could complicate the control of the pandemic	unknown	https://dx.doi.org/10.1099/acmi.0.000133	hCoV-19/Taiwan/2/2020
Caly L. et al A	3	Tracking the COVID-19 pandemic in Australia using genomics	unknown	https://dx.doi.org/10.1101/2020.05.12.20099929	hCoV-19/Australia/VIC02/2020,hCoV-19/Australia/VIC14/2020,hCoV-19/Australia/VIC426/2020
Rodpan et al	2	unknown	unknown	unknown	hCoV-19/Thailand/SI200478-NST/2020,hCoV-19/Thailand/SI200040-NT/2020
Samira Al-Maruqi et al	3	unknown	unknown	unknown	hCoV-19/Oman/RESP-20-2857/2020,hCoV-19/Oman/RESP-20-797/2020,hCoV-19/Oman/RESP-20-5505/2020
Ranjit Sah et al	1	Insights into The Codon Usage Bias of 13 Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Isolates from Different Geo-locations	unknown	http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463	hCoV-19/Nepal/61/2020
Adam Meijer et al	128	unknown	unknown	unknown	hCoV-19/Curacao/CW-RIVM-10100/2020,hCoV-19/Curacao/CW-RIVM-21720/2020,hCoV-19/Aruba/AW-RIVM-10115/2020,hCoV-19/Aruba/AW-RIVM-11405/2021,hCoV-19/Curacao/CW-RIVM-31670/2021,hCoV-19/Aruba/AW-RIVM-31215/2021,hCoV-19/Aruba/AW-RIVM-27497/2021,hCoV-19/Aruba/AW-RIVM-31240/2021,hCoV-19/Aruba/AW-RIVM-38717/2021,hCoV-19/Aruba/AW-RIVM-31183/2021,hCoV-19/Aruba/AW-RIVM-32982/2021,hCoV-19/Aruba/AW-RIVM-35942/2021,hCoV-19/Curacao/CW-RIVM-13016/2021,hCoV-19/Aruba/AW-RIVM-16791/2021,hCoV-19/Aruba/AW-RIVM-38699/2021,hCoV-19/Aruba/AW-RIVM-36956/2021,hCoV-19/Aruba/AW-RIVM-40538/2021,hCoV-19/Aruba/AW-RIVM-38654/2021,hCoV-19/Curacao/CW-RIVM-35013/2021,hCoV-19/Curacao/CW-RIVM-40804/2021,hCoV-19/Bonaire/BQ-RIVM-42355/2021,hCoV-19/Curacao/CW-RIVM-44513/2021,hCoV-19/Bonaire/BQ-RIVM-42398/2021,hCoV-19/Aruba/AW-RIVM-46355/2021,hCoV-19/Aruba/AW-RIVM-46354/2021,hCoV-19/Bonaire/BQ-RIVM-35139/2021,hCoV-19/SintMaarten/SX-RIVM-32186/2021,hCoV-19/Bonaire/BQ-RIVM-39010/2021,hCoV-19/Bonaire/BQ-RIVM-35094/2021,hCoV-19/Suriname/SR-RIVM-22492/2021,hCoV-19/Curacao/CW-RIVM-10366/2020,hCoV-19/Curacao/CW-RIVM-21710/2020,hCoV-19/Curacao/CW-RIVM-21731/2020,hCoV-19/Netherlands/NH-RIVM-20076/2020,hCoV-19/Netherlands/GE-RIVM-20311/2020,hCoV-19/Netherlands/OV-RIVM-20500/2020,hCoV-19/Bonaire/BQ-RIVM-45023/2021,hCoV-19/Bonaire/BQ-RIVM-45057/2021,hCoV-19/Curacao/CW-RIVM-46561/2021,hCoV-19/Netherlands/GR-RIVM-49352/2021,hCoV-19/Netherlands/NB-RIVM-49420/2021,hCoV-19/Bonaire/BQ-RIVM-46688/2021,hCoV-19/Bonaire/BQ-RIVM-46527/2021,hCoV-19/Curacao/CW-RIVM-48276/2021,hCoV-19/Curacao/CW-RIVM-50160/2021,hCoV-19/Bonaire/BQ-RIVM-45011/2021,hCoV-19/Curacao/CW-RIVM-44523/2021,hCoV-19/Aruba/AW-RIVM-46339/2021,hCoV-19/Netherlands/UT-RIVM-48209/2021,hCoV-19/Curacao/CW-RIVM-50177/2021,hCoV-19/Bonaire/BQ-RIVM-49116/2021,hCoV-19/Netherlands/NB-RIVM-49448/2021,hCoV-19/Netherlands/ZH-RIVM-45563/2021,hCoV-19/Bonaire/BQ-RIVM-46612/2021,hCoV-19/SintMaarten/SX-RIVM-49123/2021,hCoV-19/Curacao/CW-RIVM-44524/2021,hCoV-19/Curacao/CW-RIVM-44498/2021,hCoV-19/Curacao/CW-RIVM-43129/2021,hCoV-19/Curacao/CW-RIVM-46525/2021,hCoV-19/Curacao/CW-RIVM-46583/2021,hCoV-19/Curacao/CW-RIVM-50225/2021,hCoV-19/Curacao/CW-RIVM-48273/2021,hCoV-19/Aruba/AW-RIVM-46343/2021,hCoV-19/Aruba/AW-RIVM-49110/2021,hCoV-19/Curacao/CW-RIVM-46581/2021,hCoV-19/Aruba/AW-RIVM-49043/2021,hCoV-19/Aruba/AW-RIVM-43082/2021,hCoV-19/Aruba/AW-RIVM-44210/2021,hCoV-19/Aruba/AW-RIVM-49088/2021,hCoV-19/Bonaire/BQ-RIVM-49072/2021,hCoV-19/Netherlands/NB-RIVM-49440/2021,hCoV-19/Netherlands/NoordHolland_10001/2020,hCoV-19/Curacao/CW-RIVM-18390/2021,hCoV-19/Aruba/AW-RIVM-10391/2020,hCoV-19/Suriname/SR-RIVM-22522/2021,hCoV-19/Curacao/CW-RIVM-41618/2021,hCoV-19/Curacao/CW-RIVM-44543/2021,hCoV-19/Aruba/AW-RIVM-30307/2021,hCoV-19/Curacao/CW-RIVM-43109/2021,hCoV-19/Curacao/CW-RIVM-38773/2021,hCoV-19/Aruba/AW-RIVM-41524/2021,hCoV-19/Aruba/AW-RIVM-38676/2021,hCoV-19/Aruba/AW-RIVM-40489/2021,hCoV-19/Curacao/CW-RIVM-39814/2021,hCoV-19/Curacao/CW-RIVM-30444/2021,hCoV-19/Curacao/CW-RIVM-31669/2021,hCoV-19/Curacao/CW-RIVM-41654/2021,hCoV-19/Netherlands/GE-RIVM-31210/2021,hCoV-19/Aruba/AW-RIVM-41521/2021,hCoV-19/Curacao/CW-RIVM-15593/2021,hCoV-19/Netherlands/NB-RIVM-36018/2021,hCoV-19/Bonaire/BQ-RIVM-35140/2021,hCoV-19/Bonaire/BQ-RIVM-35152/2021,hCoV-19/Netherlands/GE-RIVM-33529/2021,hCoV-19/SintMaarten/SX-RIVM-39246/2021,hCoV-19/Netherlands/NH-RIVM-42306/2021,hCoV-19/Aruba/AW-RIVM-29813/2021,hCoV-19/Netherlands/DR-RIVM-33878/2021,hCoV-19/Curacao/CW-RIVM-36932/2021,hCoV-19/Netherlands/NH-RIVM-27315/2021,hCoV-19/Netherlands/OV-RIVM-32627/2021,hCoV-19/Netherlands/NB-RIVM-39743/2021,hCoV-19/Bonaire/BQ-RIVM-35129/2021,hCoV-19/Curacao/CW-RIVM-31682/2021,hCoV-19/Bonaire/BQ-RIVM-16951/2021,hCoV-19/Bonaire/BQ-RIVM-22567/2021,hCoV-19/Curacao/CW-RIVM-31658/2021,hCoV-19/Curacao/CW-RIVM-33247/2021,hCoV-19/Bonaire/BQ-RIVM-27422/2021,hCoV-19/Bonaire/BQ-RIVM-35151/2021,hCoV-19/Bonaire/BQ-RIVM-25820/2021,hCoV-19/Aruba/AW-RIVM-31157/2021,hCoV-19/Aruba/AW-RIVM-14493/2021,hCoV-19/Aruba/AW-RIVM-31204/2021,hCoV-19/Aruba/AW-RIVM-35931/2021,hCoV-19/Aruba/AW-RIVM-35162/2021,hCoV-19/SintMaarten/SX-RIVM-29925/2021,hCoV-19/Curacao/CW-RIVM-26916/2021,hCoV-19/Curacao/CW-RIVM-33246/2021,hCoV-19/Curacao/CW-RIVM-29951/2021,hCoV-19/Curacao/CW-RIVM-30362/2021,hCoV-19/Aruba/AW-RIVM-27507/2021,hCoV-19/Aruba/AW-RIVM-33455/2021,hCoV-19/Curacao/CW-RIVM-29929/2021,hCoV-19/Curacao/CW-RIVM-29972/2021,hCoV-19/Curacao/CW-RIVM-31693/2021,hCoV-19/Bonaire/BQ-RIVM-35117/2021,hCoV-19/Aruba/AW-RIVM-27496/2021
