strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Wuhan/Hu-1/2019	EPI_ISL_402125	MN908947.3	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al (https://dx.doi.org/10.1038/s41586-020-2008-3)
hCoV-19/Wuhan/WH01/2019	EPI_ISL_406798	LR757998.1	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al (https://dx.doi.org/10.1016/S0140-6736(20)30251-8)
hCoV-19/UnitedArabEmirates/skmc-003/2020	EPI_ISL_582625		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
hCoV-19/UnitedArabEmirates/skmc-002/2020	EPI_ISL_582612		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
hCoV-19/HongKong/VM20002493-2/2020	EPI_ISL_414527		Hong Kong Department of Health	School of Public Health, The University of Hong Kong	Dominic N.C. Tsang et al
hCoV-19/Taiwan/2/2020	EPI_ISL_406031		Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al A (https://dx.doi.org/10.1099/acmi.0.000133)
hCoV-19/Australia/VIC02/2020	EPI_ISL_416410		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
hCoV-19/Thailand/SI200478-NST/2020	EPI_ISL_437619	MT447159.1		Faculty of Medicine	Rodpan et al
hCoV-19/Oman/RESP-20-2857/2020	EPI_ISL_457978		Oman-NIC	Oman-NIC	Samira Al-Maruqi et al
hCoV-19/Nepal/61/2020	EPI_ISL_410301	MT072688.1	National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal	The University of Hong Kong	Ranjit Sah et al (http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463)
hCoV-19/Thailand/SI200040-NT/2020	EPI_ISL_437623	MT447155.1		Faculty of Medicine	Rodpan et al
hCoV-19/Curacao/CW-RIVM-10100/2020	EPI_ISL_547453		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Australia/VIC14/2020	EPI_ISL_419734		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
hCoV-19/Japan/NA-20-05-1/2020	EPI_ISL_410531		Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
hCoV-19/Taiwan/CGMH-CGU-01/2020	EPI_ISL_411915	MT192759.1	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan.	Kuo-Chien Tsao et al (https://dx.doi.org/10.1080/22221751.2020.1782271)
hCoV-19/Malaysia/6359/2020	EPI_ISL_501220		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
hCoV-19/Finland/1/2020	EPI_ISL_407079	MT020781.1	Lapland Central Hospital	Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland	Teemu Smura et al A
hCoV-19/Australia/NT43/2020	EPI_ISL_480691		Royal Darwin Hospital Pathology	MDU-PHL	Meumann et al
hCoV-19/Indonesia/JK-EIJK-07/2020	EPI_ISL_467376		RSUP Fatmawati	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Edison Johar et al
hCoV-19/England/BRIS-12E78E/2020	EPI_ISL_488225		PHE South West Regional Laboratory, National Infection Service	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Stephanie Hutchings et al
hCoV-19/Pakistan/KHI1/2020	EPI_ISL_451958	MT500122.1	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi	Shakeel et al
hCoV-19/Indonesia/JI-ITD-3101NT/2020	EPI_ISL_458083		Adi Husada Undaan Hospital	Institute of Tropical Disease, Universitas Airlangga	Rima R Prasetya et al
hCoV-19/Bulgaria/15/2020	EPI_ISL_480298		National Reference Laboratory "Influenza and acute respiratory diseases"	NRL-HIV	Ivan Ivanov et al
